TimeStamp,AF3,AF4,FP1,FP2,AF7,AF8
-0.640336275100708,0.0307388491319238,0.0358091635476546,-0.0215285371575996,-0.0271967830892543,-0.00844552468604143,-0.00937716774668309
-0.638333082199097,0.0307366847380024,0.0358085414241006,-0.0215284887288199,-0.0271948347621959,-0.00844755496949613,-0.00937434770159098
-0.636333227157593,0.0307351089400183,0.0358061833150605,-0.0215281869802698,-0.0271927001706004,-0.00844530861917837,-0.00937509648503023
-0.634330272674561,0.0307360700650299,0.0358052668935379,-0.0215268905790914,-0.0271923425426892,-0.00844410162497778,-0.00937800221180942
-0.632330179214478,0.0307349748295516,0.0358057809836603,-0.0215263541372245,-0.0271884980426428,-0.00844702970350143,-0.00937887392984318
-0.630327224731445,0.0307346768062922,0.0358061982162235,-0.021525087538372,-0.0271859126908675,-0.00844940643899517,-0.00938046835428099
-0.628327131271362,0.030736647485095,0.0358052184647582,-0.0215229156938691,-0.0271846349161428,-0.00845090028058294,-0.00938341505925835
-0.62632417678833,0.0307358912510742,0.0358061386115716,-0.0215222861197336,-0.0271835136036293,-0.00845346700590456,-0.0093827631333784
-0.624324083328247,0.0307349226754812,0.0358048347598117,-0.0215209748173922,-0.0271820681908212,-0.00845331799427486,-0.00938339643280463
-0.622321128845215,0.0307368151231784,0.0358017874719843,-0.0215210716749515,-0.027183170876881,-0.00844800572967597,-0.00938635431365422
-0.620278120040894,0.0307372621580675,0.0358026144865292,-0.0215212951923961,-0.0271812262751134,-0.00844898920643201,-0.0093883659706552
-0.61827826499939,0.0307373031362657,0.0358048682874284,-0.0215213212694313,-0.0271774525555912,-0.00845424559166975,-0.00938915200700188
-0.616275072097778,0.030734751312107,0.0358064738877385,-0.0215214814569332,-0.0271748634785251,-0.00845800441002898,-0.00938687585435818
-0.614275217056274,0.0307311303295052,0.0358026740911811,-0.0215197603726101,-0.0271738800017691,-0.00845022600295853,-0.00938993804334855
-0.612272262573242,0.0307310669995626,0.0358039295141613,-0.0215191084467302,-0.0271729151514667,-0.00845158573407957,-0.00939138718144741
-0.610272169113159,0.0307308360315366,0.0358058890170919,-0.0215180653653223,-0.0271729449537927,-0.0084551694637739,-0.00939054526573959
-0.608269214630127,0.0307298972582695,0.0358024244967013,-0.0215169254263551,-0.0271723191049479,-0.00845340367596193,-0.00938967354770583
-0.606268167495728,0.0307302101826918,0.0358022680344901,-0.0215183335862557,-0.0271712015177252,-0.00845271077188382,-0.00939023234131722
-0.604266166687012,0.030729614136173,0.0358051812118508,-0.02151870611533,-0.0271696070932874,-0.00845632430390409,-0.00939015783550236
-0.602265119552612,0.0307279936347,0.0358059523470345,-0.0215167503376902,-0.0271687018476369,-0.00845792245363265,-0.00939057134277479
-0.600263118743896,0.0307291671012839,0.0358051141566174,-0.0215169850310069,-0.0271677071950087,-0.00845898416149428,-0.00939060487039147
-0.598262071609497,0.0307293012117507,0.0358037954036946,-0.0215164262373956,-0.027165024985674,-0.00846215810920693,-0.00938948728316871
-0.596260070800781,0.0307264364631696,0.0358038140301483,-0.0215147088783632,-0.0271640005307198,-0.00846303355253143,-0.00938850753170341
-0.594259262084961,0.0307251475125727,0.0358020556929178,-0.0215139191167258,-0.0271621378853485,-0.00846123796239352,-0.00938990824102261
-0.592257261276245,0.0307245551913446,0.0358027597728681,-0.021515204342032,-0.0271591539274638,-0.00846433367900058,-0.00938862301571643
-0.590256214141846,0.0307227297988808,0.0358024990025162,-0.0215148839670281,-0.0271572018751147,-0.00846269455107386,-0.00939044840818028
-0.588253259658813,0.0307245328396002,0.0358005022466781,-0.0215162101705325,-0.0271568293460404,-0.00845765050740844,-0.00939434506229699
-0.58625316619873,0.0307219586636971,0.0358028007510663,-0.0215168844481569,-0.027154173213741,-0.00846093993913411,-0.00939276181373141
-0.584250211715698,0.0307204387450741,0.0358035830621222,-0.0215178902766574,-0.0271507310450949,-0.00846429270080241,-0.00939110778464172
-0.582250118255615,0.0307219512131156,0.0358024356725735,-0.0215191941284173,-0.0271487044869309,-0.00846651297408497,-0.00938997529625598
-0.580247163772583,0.0307234413294126,0.0358004389167355,-0.0215185980818985,-0.0271477284607564,-0.00846614044501072,-0.0093914132584826
-0.5782470703125,0.030719645258146,0.0358009120286598,-0.0215167838653068,-0.0271454672092756,-0.00846884128079907,-0.00938946493142425
-0.576247215270996,0.0307167320807853,0.0358004351914448,-0.0215143102722538,-0.0271432394854116,-0.00846837934474699,-0.0093912381698177
-0.574244260787964,0.0307179129979507,0.0358014819981434,-0.0215149621981337,-0.0271427961758132,-0.00846945595377159,-0.00939218066837557
-0.572243213653564,0.0307171493133485,0.035802327639142,-0.0215165752490253,-0.0271407435406141,-0.00847156074304113,-0.00939059741980999
-0.570240259170532,0.0307150519746604,0.0358024878266439,-0.0215150069016226,-0.0271402480769453,-0.00847437333755175,-0.00938791148518461
-0.568240165710449,0.0307128950313205,0.0358049576944062,-0.0215148616152837,-0.0271363253457934,-0.00848048653966028,-0.00938617922498932
-0.566237211227417,0.0307125746563166,0.0358045926159135,-0.0215165007432104,-0.0271313930608503,-0.0084795775687191,-0.00938969589945029
-0.564237117767334,0.0307165830691556,0.0358025660577495,-0.0215160015542509,-0.0271348054271704,-0.00847344574015686,-0.00939489640532689
-0.562234163284302,0.0307173169514319,0.035803948140615,-0.0215130995527625,-0.0271349209111835,-0.00847834449748331,-0.00939490013061763
-0.560234069824219,0.0307163148482221,0.0358024990025162,-0.0215111512257041,-0.0271321232178358,-0.00848028537396018,-0.00939525403323817
-0.558234214782715,0.0307160205502535,0.0357993883847461,-0.0215089644800382,-0.0271298247134477,-0.0084793503259838,-0.0093972694155299
-0.556231260299683,0.0307151562828012,0.0357987699864829,-0.0215098734509794,-0.0271270903500426,-0.0084801028347138,-0.00939685963354821
-0.5542311668396,0.0307143329935471,0.0357990195809626,-0.0215098473739442,-0.0271243820636728,-0.00848130610362364,-0.00939781703326905
-0.552228212356567,0.030713133449928,0.035799317604222,-0.0215095269989403,-0.0271217371072456,-0.0084833773652765,-0.00939780958268756
-0.550227165222168,0.0307132452086503,0.0357999434530668,-0.0215105775309297,-0.0271211336101453,-0.00848165628095344,-0.00939982123968854
-0.548224210739136,0.0307130365923687,0.0357986396013069,-0.0215091544698661,-0.027119777604315,-0.00848128375187919,-0.00940146036761527
-0.546224117279053,0.030712887580739,0.0357964789326762,-0.0215076047489172,-0.0271171326478878,-0.00848371264144333,-0.00940091647516685
-0.544224262237549,0.0307114794208383,0.0357946460896309,-0.0215044978564379,-0.0271138692931973,-0.00848521020832184,-0.00940254815251209
-0.542221069335938,0.0307105928016416,0.0357946311884679,-0.0215038645570117,-0.0271090785693024,-0.00848596271705183,-0.00940631814674355
-0.540221214294434,0.0307085550676054,0.035796437954478,-0.0215046952968473,-0.0271050366288467,-0.00848896157609958,-0.00940629952028984
-0.538218259811401,0.0307079999992847,0.0357980957088585,-0.0215050044959789,-0.0271038929645888,-0.00849056717640962,-0.00940663107116593
-0.536218166351318,0.0307129471853909,0.035794325714627,-0.0215038347546857,-0.0271043996041297,-0.00848454710656966,-0.00941449143463271
-0.534215211868286,0.0307126975909111,0.0357943666928252,-0.0215026314857759,-0.0271023246171861,-0.00848484140453832,-0.00941726677623591
-0.532215118408203,0.0307091324876705,0.0357958083803425,-0.021503179103515,-0.0270978877959118,-0.00848994877814636,-0.00941392519043984
-0.530212163925171,0.0307080223510292,0.0357951899820793,-0.0215003329813877,-0.0270962710197295,-0.00848989662407596,-0.00941671170791527
-0.528211116790771,0.030705854231817,0.035795569961735,-0.0214983213243868,-0.0270953993016957,-0.0084913271357211,-0.00941637643174844
-0.526209115982056,0.0307039133553402,0.0357946572655031,-0.0214967306252397,-0.0270946356170935,-0.00849022817495205,-0.00941697620355799
-0.524208068847656,0.0307038612012698,0.0357937780968878,-0.0214954863781317,-0.0270935254804522,-0.0084894533144776,-0.0094191741250961
-0.52220606803894,0.0307040660922606,0.0357938712291564,-0.0214961532051746,-0.0270903031039599,-0.00849336114446654,-0.00941811986781595
-0.52020525932312,0.0307052805370427,0.0357948398047495,-0.0214986491499721,-0.0270891780661557,-0.00849442657761891,-0.00941786654804546
-0.518203258514404,0.0307059026605967,0.0357945231550364,-0.0215005527735415,-0.0270881536112015,-0.00849434089593183,-0.00941737853495819
-0.516202211380005,0.0307066737957804,0.0357951378280089,-0.0215005415976693,-0.0270859966678615,-0.00849719074334988,-0.00941808261490853
-0.514199256896973,0.0307055115050687,0.0357959871942982,-0.0214957359726114,-0.0270847002666831,-0.00850172814747431,-0.00941933431259803
