TimeStamp,AF3,AF4,FP1,FP2,AF7,AF8
-0.664908647537231,0.0418536936466329,-0.0103736159650822,-0.0420311068929561,-0.0519163893957602,0.00257162035365347,0.0598957982535122
-0.662908554077148,0.0418545653646666,-0.0103708890522586,-0.0420316209830786,-0.0519209267998847,0.00257068158038635,0.0598981898901689
-0.660908460617065,0.0418457662279327,-0.0103715298022663,-0.0420290877853737,-0.051916493703901,0.00256601751637667,0.0599053275472316
-0.658907651901245,0.0418418956508512,-0.0103725840595465,-0.0420247552722401,-0.0519160727460471,0.00256306336081783,0.0599084530661646
-0.656907558441162,0.0418443170898339,-0.0103750353008551,-0.0420202104175342,-0.0519187922082892,0.0025655295032894,0.0599041913335551
-0.654907464981079,0.0418519353094024,-0.010369696959221,-0.0420225610759927,-0.0519231098202598,0.00256324590006422,0.0599001866460069
-0.652907609939575,0.0418637891845452,-0.0103552949852103,-0.0420277168783804,-0.0519332053581721,0.00255464792903041,0.0598977801081872
-0.650906562805176,0.041877248659998,-0.0103421260824354,-0.0420317588188361,-0.0519465456243212,0.00255248353510899,0.0598906983304856
-0.648906469345093,0.0418886853025776,-0.0103342210154797,-0.0420365271909865,-0.0519576842436414,0.00255676761946292,0.0598829795280671
-0.646906614303589,0.0418884804115868,-0.0103334871332034,-0.0420343851488096,-0.0519595878672109,0.0025549534028713,0.0598840263347657
-0.644905567169189,0.0418815923490038,-0.0103331555823273,-0.0420306337810318,-0.0519569540866559,0.00255056873566731,0.0598885823653439
-0.642903566360474,0.0418767829986552,-0.010335170964619,-0.0420271953376765,-0.0519545661752899,0.0025502520859542,0.059889897392976
-0.640902519226074,0.041872647925931,-0.0103333604733182,-0.0420242225556639,-0.0519540967886563,0.00254877687082015,0.0598902550208873
-0.63890266418457,0.0418776621672704,-0.0103257757813663,-0.0420251538783495,-0.0519588726113883,0.00254540920798888,0.0598867308958448
-0.636902570724487,0.0418877204522753,-0.0103166115661397,-0.0420262714655723,-0.0519698249661714,0.00254422456553275,0.0598807629800752
-0.634901523590088,0.0418959756965608,-0.0103057858712418,-0.0420290579830477,-0.0519786241029053,0.0025417509724797,0.0598757412881543
-0.632901668548584,0.041906637478666,-0.0102930677286467,-0.0420349588435839,-0.051987542448943,0.00254009694339,0.0598688345991176
-0.630901575088501,0.0419071962722774,-0.0102915925135127,-0.0420348023813727,-0.0519906716931667,0.00253953814977862,0.0598703321659961
-0.628900527954102,0.0419091520499172,-0.0102882285759722,-0.0420336512665333,-0.0519942591481518,0.00253621891572701,0.059870768025013
-0.626900672912598,0.0419031655076939,-0.0102888059960373,-0.0420310770906302,-0.0519905897367704,0.00253320515551628,0.0598741021602276
-0.624900579452515,0.0418979612765266,-0.0102914621283367,-0.0420276982519267,-0.0519866521044555,0.00253379002616286,0.0598740611820294
-0.622899532318115,0.0419002970338222,-0.0102862876994953,-0.0420281117591991,-0.0519891219722178,0.00253071666130026,0.0598725077357897
-0.620899677276611,0.0419090067635783,-0.0102757898301828,-0.0420319637098269,-0.0519966619606807,0.00252787053917295,0.0598675381979392
-0.618899583816528,0.041919661095102,-0.0102638390974807,-0.0420365979715107,-0.0520071747311562,0.0025265443356686,0.0598614063693769
-0.616898536682129,0.0419291009818436,-0.0102557179636619,-0.0420400103378308,-0.0520161526818458,0.00252749055951721,0.0598552894419777
-0.614898681640625,0.041940641932564,-0.0102474627193764,-0.0420431097797286,-0.0520265834959249,0.0025264474781093,0.0598500665843566
-0.612898588180542,0.0419377324804941,-0.0102459465260442,-0.0420421747317523,-0.0520272577735493,0.00252378389522837,0.0598538626556233
-0.610897541046143,0.041929760358305,-0.0102505882383094,-0.0420385239468246,-0.0520245010583998,0.00252475247082143,0.0598591004144073
-0.608897686004639,0.0419285198364877,-0.0102503758967371,-0.0420331036487941,-0.0520256074697503,0.00252112031234744,0.0598594468664463
-0.606897592544556,0.0419315037943725,-0.0102440615289285,-0.0420321984031437,-0.052030893657314,0.00251500711023891,0.0598606426847747
-0.604897499084473,0.0419401799965119,-0.0102341783325885,-0.0420350109976543,-0.0520407246995836,0.00251219451572829,0.0598575395175862
-0.602896451950073,0.0419463341768186,-0.0102284488354264,-0.0420375292941963,-0.0520495014845731,0.00251457125122204,0.0598545741861551
-0.600894451141357,0.0419523691478216,-0.0102195304893888,-0.0420407032419089,-0.0520554470485982,0.00251153141397611,0.0598517802180982
-0.598893642425537,0.0419622076406726,-0.0102102507901491,-0.0420454604381872,-0.0520645404833008,0.0025098140549438,0.0598482300160205
-0.596893548965454,0.0419623790040468,-0.0102083806941963,-0.0420450208538796,-0.0520665819426277,0.00250810787178371,0.059849496614873
-0.594893455505371,0.0419613992525815,-0.0102085334311168,-0.0420422008087874,-0.0520673605283929,0.00250721752729624,0.0598494779884193
-0.592892646789551,0.0419578825781205,-0.0102116477741775,-0.0420394813465454,-0.0520662056882627,0.00250732183543703,0.059852130395428
-0.590892553329468,0.0419577372917816,-0.0102069874354586,-0.0420414594759297,-0.0520660827536682,0.00250118628158405,0.0598556060916908
-0.588892459869385,0.0419606914473404,-0.0102005687595092,-0.0420426627448395,-0.052070281156335,0.0024999383091853,0.059852882904158
-0.586891651153564,0.0419691739343612,-0.0101900746154874,-0.0420456914062132,-0.0520799259340675,0.00249773666235645,0.0598487813590504
-0.584891557693481,0.0419763525696221,-0.010181152544159,-0.0420495545327132,-0.052088527630392,0.00249472290214572,0.0598481592354964
-0.582891464233398,0.0419848462325151,-0.0101660651166517,-0.0420531978670595,-0.052099569392153,0.00249038666372139,0.0598435994796275
-0.580891609191895,0.0419923787703966,-0.0101562527008358,-0.0420550530618493,-0.0521094935666911,0.00248884439335398,0.0598395761656256
-0.578890562057495,0.0419878823444703,-0.0101663147111314,-0.0420513016940715,-0.0521047810739018,0.00249067351110857,0.0598438416235258
-0.576890468597412,0.0419805397964167,-0.0101753336400191,-0.0420462613756968,-0.0520984443543487,0.00248851656776863,0.0598509830058793
-0.574890613555908,0.041978278544936,-0.0101757620484545,-0.0420429570428082,-0.052097933989517,0.00248732820002176,0.0598510463358219
-0.572889566421509,0.0419819628574804,-0.0101696860992534,-0.0420437207274104,-0.052101290476476,0.00248721271600874,0.0598455217296507
-0.570889472961426,0.0419869137688772,-0.0101640646355229,-0.0420443130486385,-0.0521055484837948,0.00248322292962347,0.0598437894694554
-0.568889617919922,0.042002038449292,-0.0101484258649857,-0.0420474497434437,-0.052119436367683,0.00247878983363983,0.0598344836931805
-0.566888570785522,0.0420075742313354,-0.0101371456846173,-0.0420520169498941,-0.0521261493416011,0.002476703670824,0.0598310340739529
-0.564888477325439,0.0420162355323119,-0.0101294231569079,-0.042055693811857,-0.0521354364914222,0.00247725128856316,0.0598270666393121
-0.562888622283936,0.0420113926543465,-0.0101337742964952,-0.0420524453583295,-0.0521351608199073,0.00247866689904533,0.0598313209213401
-0.560887575149536,0.0420095784377549,-0.0101327051380521,-0.042050325667897,-0.0521335328678528,0.00247417047311907,0.0598328147629279
-0.558887481689453,0.0420042587225746,-0.0101317440130406,-0.0420492304324186,-0.0521309177137515,0.00247066124923959,0.0598369721873965
